income,grant,dropout,hsgrade
18.19566971,1,0.3125,75.25
77.79935256,1,0.333333333,76.27777778
124.3631209,1,0.296296296,75.96296296
178.5739017,1,0.307692308,68.38461538
224.4162782,1,0.555555556,75.27777778
265.3134909,1,0.307692308,70.53846154
323.7318232,1,0.380952381,74.57142857
374.8712,1,0.48,70.48
427.2134861,1,0.352941176,69.64705882
473.8927979,1,0.230769231,70.84615385
526.37298,1,0.416666667,81.41666667
572.3849091,1,0.636363636,81.90909091
628.3005925,1,0.571428571,72.57142857
672.0950588,1,0.4,70.4
725.5282418,1,0.363636364,75.54545455
783.3374871,1,0.461538462,75.30769231
830.482143,0,0.333333333,77.33333333
928.2547751,1,0.6,73
982.1631381,1,0.230769231,75.53846154
1024.52555,1,0.363636364,81.59090909
1067.42143,1,0.470588235,83.23529412
1119.143387,1,0.636363636,71.90909091
1183.023891,1,0.533333333,77.66666667
1226.865584,1,0.583333333,77.58333333
1276.829552,1,0.545454545,79.27272727
1318.06228,1,0.7,83.7
1373.060902,1,0.25,72.75
1418.624019,1,0.428571429,82.21428571
1469.693847,1,0.666666667,80.26666667
1522.745002,0,0.615384615,79
1571.248921,0,0.181818182,84.54545455
1628.560907,1,0.347826087,79.52173913
1677.825625,1,0.642857143,78.07142857
1728.358888,1,0.473684211,80.36842105
1775.029192,0,0.5,70.58333333
1817.674286,1,0.571428571,82.57142857
1871.255627,1,0.428571429,87
1925.73139,1,0.230769231,79.15384615
1967.695097,0,0.416666667,71.83333333
2024.655233,1,0.5,74.38888889
2072.996766,1,0.333333333,79
2123.969597,0,0.1875,81.375
2174.420932,1,0.545454545,80.18181818
2223.052439,1,0.714285714,77.21428571
2278.748443,1,0.333333333,78.8
2328.721197,1,0.384615385,74.38461538
2372.915,1,0.6,80.6
2423.031662,0,0.444444444,73.22222222
2472.315766,1,0.333333333,74.72222222
2529.3026,1,0.333333333,85.2
2565.715093,1,0.6,81.6
2621.381097,1,0.461538462,85.53846154
2679.925261,1,0.25,77.66666667
2727.807807,1,0.428571429,82.85714286
2776.092355,1,0.421052632,81.89473684
2825.349368,1,0.631578947,81.21052632
2872.563432,1,0.375,76.58333333
2924.087429,1,0.611111111,85.94444444
2974.500839,1,0.4,79.15
3023.495407,1,0.263157895,82.63157895
3073.268726,1,0.6,80.16
3118.244582,1,0.458333333,78.875
3176.324442,1,0.565217391,81.13043478
3223.838952,1,0.272727273,75.95454545
3279.388647,1,0.40625,82.71875
3323.187082,1,0.4,79.05
3376.723154,1,0.5,82.81818182
3426.33956,1,0.36,82.6
3470.420232,1,0.392857143,77.89285714
3526.675355,1,0.5,75.63636364
3573.631784,1,0.529411765,84.58823529
3626.798262,1,0.6,76.2
3680.46083,1,0.321428571,81.96428571
3734.075554,1,0.56,82.6
3766.717716,1,0.380952381,82.57142857
3829.076777,1,0.611111111,77.94444444
3878.127261,1,0.391304348,83.39130435
3922.100172,1,0.565217391,80
3978.354399,1,0.333333333,79.14285714
4024.719535,1,0.166666667,79.70833333
4074.173621,1,0.5,78.15
4125.819486,0,0.208333333,77.54166667
4169.00255,1,0.368421053,81.42105263
4222.867045,1,0.52,79.08
4275.539035,1,0.333333333,75.44444444
4322.720498,1,0.5625,78.75
4378.020689,1,0.48,80.8
4428.145154,1,0.380952381,82.76190476
4474.754077,1,0.47826087,81.2173913
4526.039003,1,0.512820513,79.66666667
4573.230275,1,0.451612903,78.51612903
4627.066598,1,0.419354839,82
4678.04221,0,0.444444444,76.18518519
4726.619062,1,0.275862069,81.55172414
4773.169355,1,0.447368421,80.52631579
4828.228201,1,0.421052632,81.84210526
